question_id,iteration,pseudo_label_ok,query_shift_l2,l1_steps,l1_loss,l1_early_stopped,l2_updated,l2_loss,l2_kl_loss,l2_anchor_loss,l2_regularization_loss
2hop__511176_22458,1,True,1.207722783088684,1,3.3847105503082275,True,True,3.190565586090088,3.1819634437561035,0.008602172136306763,0.0
2hop__511176_22458,2,True,1.2063254117965698,1,2.2549819946289062,True,True,1.3324146270751953,1.3286986351013184,0.0036751930601894855,4.075222386745736e-05
2hop__20059_236755,1,True,1.2063860893249512,1,3.148618459701538,True,True,2.9988842010498047,2.990840435028076,0.008043671026825905,0.0
2hop__20059_236755,2,True,0.01768658123910427,0,nan,True,True,3.1827542781829834,3.180332660675049,0.0023803289514034986,4.118441211176105e-05
2hop__20059_236755,3,True,0.02358390763401985,0,nan,True,True,3.2108240127563477,3.2084028720855713,0.002314707962796092,0.00010625251161400229
2hop__20059_236755,4,True,0.030863024294376373,0,nan,True,True,3.2240183353424072,3.2217304706573486,0.002079153200611472,0.0002085123851429671
2hop__373544_80420,1,True,0.016170619055628777,0,nan,True,True,3.1737685203552246,3.1679627895355225,0.005805782973766327,0.0
2hop__373544_80420,2,True,0.02096177637577057,0,nan,True,True,3.3624069690704346,3.3601603507995605,0.002205814467743039,4.0871065721148625e-05
3hop1__454441_55349_651302,1,True,2.4738199710845947,3,2.493952989578247,False,True,3.4065849781036377,3.401911497116089,0.004673379939049482,0.0
3hop1__454441_55349_651302,2,True,2.1698238849639893,3,1.7967767715454102,False,True,1.9256539344787598,1.9217755794525146,0.0038373058196157217,4.105221523786895e-05
3hop1__454441_55349_651302,3,True,2.229917287826538,3,2.8810644149780273,False,True,2.282585859298706,2.280275583267212,0.0022075704764574766,0.00010265746823279187
3hop1__454441_55349_651302,4,True,2.552680253982544,3,2.2888941764831543,False,True,3.1478726863861084,3.145662784576416,0.0020435822661966085,0.00016644876450300217
3hop1__454441_55349_651302,5,True,1.2026199102401733,1,3.4349076747894287,True,True,2.8700459003448486,2.8681118488311768,0.0017051389440894127,0.000228927907301113
3hop1__454441_55349_651302,6,True,1.5735599994659424,3,2.0939929485321045,False,True,1.856534481048584,1.8542054891586304,0.002036523772403598,0.0002923864813055843
3hop1__454441_55349_651302,7,True,2.4899210929870605,3,2.0324058532714844,False,True,1.761474609375,1.759543538093567,0.0015692244051024318,0.00036177030415274203
2hop__50910_177869,1,True,1.2092077732086182,1,2.7625691890716553,True,True,2.5269179344177246,2.517369031906128,0.009549006819725037,0.0
2hop__50910_177869,2,True,2.4930901527404785,3,1.8669203519821167,False,True,2.8815925121307373,2.8783469200134277,0.0032041482627391815,4.137415817240253e-05
2hop__39420_39345,1,True,1.211094856262207,1,2.2935967445373535,True,True,2.118936777114868,2.1129000186920166,0.006036799866706133,0.0
2hop__39420_39345,2,True,2.10129451751709,2,2.6851089000701904,True,True,2.7864673137664795,2.7843120098114014,0.0021148312371224165,4.041614738525823e-05
4hop1__668178_765799_282674_759393,1,True,2.083852529525757,3,2.4508445262908936,False,True,2.1572012901306152,2.147845506668091,0.00935570802539587,0.0
4hop1__668178_765799_282674_759393,2,True,2.3974077701568604,3,1.4189975261688232,False,True,1.5802898406982422,1.5777355432510376,0.002513596322387457,4.070995419169776e-05
4hop1__199881_378185_282674_759393,1,True,0.01344881672412157,0,nan,True,True,2.7665891647338867,2.761042833328247,0.0055463011376559734,0.0
4hop1__199881_378185_282674_759393,2,True,1.2063425779342651,1,3.471082925796509,True,True,3.059002637863159,3.0566070079803467,0.002354957861825824,4.080134749528952e-05
2hop__358270_108549,1,True,1.2078381776809692,1,2.856332540512085,True,True,2.6142539978027344,2.6035397052764893,0.010714294388890266,0.0
2hop__358270_108549,2,True,1.2092654705047607,1,3.460122585296631,True,True,3.0242059230804443,3.021413803100586,0.0027513697277754545,4.070625072927214e-05
2hop__496961_554601,1,True,2.572678327560425,2,1.1014881134033203,True,True,2.4291844367980957,2.419356346130371,0.009828039444983006,0.0
2hop__496961_554601,2,True,1.2104928493499756,1,3.4412124156951904,True,True,2.745014190673828,2.741536855697632,0.0034367628395557404,4.058836930198595e-05
2hop__388467_110882,1,True,0.015161538496613503,0,nan,True,True,3.362703561782837,3.3499250411987305,0.01277846097946167,0.0
2hop__388467_110882,2,True,1.2041832208633423,1,3.4036264419555664,True,True,2.767749786376953,2.763237714767456,0.0044708894565701485,4.115872798138298e-05
2hop__388467_110882,3,True,1.9364663362503052,3,2.2097418308258057,False,True,1.2722660303115845,1.2690691947937012,0.003093459876254201,0.00010340346489101648
2hop__388467_110882,4,True,1.2005244493484497,1,2.681644916534424,True,True,1.3757426738739014,1.3730119466781616,0.00255451537668705,0.00017618689162191004
2hop__388467_110882,5,True,1.2001827955245972,1,2.185192346572876,True,True,0.8241902589797974,0.822167694568634,0.0017735619330778718,0.0002490126935299486
2hop__388467_110882,6,True,1.2024998664855957,1,3.454474687576294,True,True,3.3077900409698486,3.305633306503296,0.0018371323822066188,0.00031971026328392327
2hop__388467_110882,7,True,1.2022663354873657,1,3.3242313861846924,True,True,3.1420838832855225,3.1397500038146973,0.0019510624697431922,0.0003828422341030091
